date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2022-12-09,17.15,17.47,17.06,17.01,21720.0,0.02,0.12,17.192,17.133,17.376,19363.6,19404.47,28755.02,1.35
2022-12-12,17.0,17.1,16.88,16.88,18808.0,-0.18,-1.05,17.09,17.136,17.345,19212.4,19357.37,28597.52,1.17
2022-12-13,16.88,17.05,16.87,16.81,13004.08,-0.01,-0.06,17.022,17.104,17.3,17383.02,18726.49,28306.72,0.81
2022-12-14,16.93,18.12,17.73,16.75,62249.99,0.86,5.1,17.116,17.179,17.249,26788.41,23193.69,27257.72,3.88
2022-12-15,17.56,17.9,17.59,17.5,29021.03,-0.14,-0.79,17.226,17.232,17.203,28960.62,24050.19,25275.36,1.81
2022-12-16,17.59,17.68,17.34,17.18,23369.0,-0.25,-1.42,17.282,17.237,17.156,29290.42,24327.01,24268.71,1.46
2022-12-19,17.28,17.39,16.43,16.36,29401.0,-0.91,-5.25,17.192,17.141,17.097,31409.02,25310.71,23661.26,1.83
2022-12-20,16.37,16.48,16.22,16.08,14605.0,-0.21,-1.28,17.062,17.042,17.044,31729.2,24556.11,22926.06,0.91
2022-12-21,16.08,16.34,15.87,15.78,19072.0,-0.35,-2.16,16.69,16.903,16.993,23093.61,24941.01,22420.01,1.19
2022-12-22,15.92,16.13,15.72,15.68,15902.0,-0.15,-0.94,16.316,16.771,16.934,20469.8,24715.21,21809.74,0.99
2022-12-23,15.58,16.49,16.33,15.55,28747.0,0.61,3.88,16.114,16.698,16.916,21545.4,25417.91,22411.19,1.79
2022-12-26,16.31,16.36,16.04,15.92,20945.79,-0.29,-1.78,16.036,16.614,16.875,19854.36,25631.69,22494.53,1.31
2022-12-27,16.05,16.15,16.12,15.82,15973.0,0.08,0.5,16.016,16.539,16.822,20127.96,25928.58,22327.53,1.0
2022-12-28,16.07,16.11,15.74,15.63,21632.01,-0.38,-2.36,15.99,16.34,16.76,20639.96,21866.78,22530.23,1.35
2022-12-29,15.74,16.55,15.83,15.73,35169.01,0.09,0.57,16.012,16.164,16.698,24493.36,22481.58,23265.88,2.19
2022-12-30,15.98,16.5,16.36,15.86,36898.77,0.53,3.35,16.018,16.066,16.652,26123.72,23834.56,24080.78,2.3
2023-01-03,16.33,16.79,16.71,16.21,30519.0,0.35,2.14,16.152,16.094,16.618,28038.36,23946.36,24628.53,1.9
2023-01-04,16.78,16.88,16.72,16.56,20188.0,0.01,0.06,16.272,16.144,16.593,28881.36,24504.66,24530.38,1.26
2023-01-05,16.72,16.95,16.84,16.64,21923.0,0.12,0.72,16.492,16.241,16.572,28939.56,24789.76,24865.38,1.37
2023-01-06,16.82,16.83,16.47,16.41,20160.0,-0.37,-2.2,16.62,16.316,16.544,25937.75,25215.56,24965.38,1.26
2023-01-09,16.55,16.63,16.48,16.42,10355.0,0.01,0.06,16.644,16.331,16.515,20629.0,23376.36,24397.13,0.65
2023-01-10,16.49,16.66,16.54,16.27,15222.0,0.06,0.36,16.61,16.381,16.498,17569.6,22803.98,24217.83,0.95
2023-01-11,16.54,16.65,16.25,16.2,15573.02,-0.29,-1.75,16.516,16.394,16.467,16646.6,22763.98,24346.28,0.97
2023-01-12,16.21,16.54,16.33,16.15,14765.0,0.08,0.49,16.414,16.453,16.397,15215.0,22077.28,21972.03,0.92
2023-01-13,16.33,16.65,16.47,16.24,12327.0,0.14,0.86,16.414,16.517,16.341,13648.4,19793.08,21137.33,0.77
2023-01-16,16.4,16.67,16.56,16.38,16595.0,0.09,0.55,16.43,16.537,16.302,14896.4,17762.7,20798.63,1.03
2023-01-17,16.61,16.63,16.27,16.21,18451.0,-0.29,-1.75,16.376,16.493,16.294,15542.2,16555.9,20251.13,1.15
2023-01-18,16.33,16.58,16.53,16.32,17429.99,0.26,1.6,16.432,16.474,16.309,15913.6,16280.1,20392.38,1.09
2023-01-19,16.55,16.84,16.78,16.45,17643.2,0.25,1.51,16.522,16.468,16.355,16489.24,15852.12,20320.94,1.1
2023-01-20,16.88,16.89,16.85,16.68,15824.0,0.07,0.42,16.598,16.506,16.411,17188.64,15418.52,20317.04,0.99
2023-01-30,16.98,17.47,17.16,16.98,27845.0,0.31,1.84,16.718,16.574,16.453,19438.64,17167.52,20271.94,1.74
2023-01-31,17.26,17.49,17.41,17.05,21190.0,0.25,1.46,16.946,16.661,16.521,19986.44,17764.32,20284.15,1.32
2023-02-01,17.42,17.76,17.69,17.4,22060.0,0.28,1.61,17.178,16.805,16.6,20912.44,18413.02,20588.5,1.37
2023-02-02,17.69,18.18,17.83,17.65,28662.0,0.14,0.79,17.388,16.955,16.704,23116.2,19802.72,20940.0,1.79
2023-02-03,17.83,18.04,17.89,17.6,22474.0,0.06,0.34,17.596,17.097,16.807,24446.2,20817.42,20305.25,1.4
2023-02-06,18.03,18.04,17.93,17.7,19177.0,0.04,0.22,17.75,17.234,16.886,22712.6,21075.62,19419.16,1.2
2023-02-07,17.87,19.36,18.93,17.83,79749.81,1.0,5.58,18.054,17.5,16.997,34424.56,27205.5,21880.7,4.97
2023-02-08,18.93,19.0,18.3,18.22,50623.99,-0.63,-3.33,18.176,17.677,17.076,40137.36,30524.9,23402.5,3.15
2023-02-09,18.15,18.57,18.5,18.04,33524.99,0.2,1.09,18.31,17.849,17.159,41109.96,32113.08,23982.6,2.09
2023-02-10,18.45,19.55,18.88,18.45,72158.97,0.38,2.05,18.508,18.052,17.279,51046.95,37746.58,26582.55,4.5
2023-02-13,18.97,19.16,18.84,18.68,35792.0,-0.04,-0.21,18.69,18.22,17.397,54369.95,38541.28,27854.4,2.23
2023-02-14,18.84,18.96,18.58,18.5,28159.91,-0.26,-1.38,18.62,18.337,17.499,44051.97,39238.27,28501.29,1.75
2023-02-15,18.65,19.04,18.88,18.53,33796.0,0.3,1.61,18.736,18.456,17.631,40686.37,40411.87,29412.44,2.11
2023-02-16,19.0,19.17,18.49,18.31,43149.64,-0.39,-2.07,18.734,18.522,17.739,42611.3,41860.63,30831.68,2.69
2023-02-17,18.5,18.74,18.15,18.08,33403.32,-0.34,-1.84,18.588,18.548,17.823,34860.17,42953.56,31885.49,2.08
2023-02-20,18.09,18.81,18.53,18.09,24028.98,0.38,2.09,18.526,18.608,17.921,32507.57,43438.76,32257.19,1.5
2023-02-21,18.52,18.69,18.31,18.17,26558.01,-0.22,-1.19,18.472,18.546,18.023,32187.19,38119.58,32662.54,1.65
2023-02-22,18.13,18.29,18.19,18.06,17775.0,-0.12,-0.66,18.334,18.535,18.106,28982.99,34834.68,32679.79,1.11
2023-02-23,18.1,18.3,17.89,17.82,27256.0,-0.3,-1.65,18.214,18.474,18.162,25804.26,34207.78,33160.43,1.7
2023-02-24,17.96,18.15,18.03,17.82,13798.0,0.14,0.78,18.19,18.389,18.221,21883.2,28371.69,33059.13,0.86
2023-02-27,17.84,18.09,17.57,17.49,21780.0,-0.46,-2.55,17.998,18.262,18.241,21433.4,26970.49,32755.88,1.36
